2025-09-20 18:13:50,423 - models.lstm_health_model - ERROR - lstm_health_model.py:302 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/lstm_health_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
2025-09-20 18:13:50,424 - models.transformer_genomic_model - ERROR - transformer_genomic_model.py:418 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/transformer_genomic_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
2025-09-20 18:40:05,083 - api.routes.recommendations - ERROR - recommendations.py:177 - Error generating recommendations: 503: Fusion model not available. Please train models first.
2025-09-20 18:40:58,640 - models.lstm_health_model - ERROR - lstm_health_model.py:302 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/lstm_health_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
2025-09-20 18:40:58,640 - models.transformer_genomic_model - ERROR - transformer_genomic_model.py:418 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/transformer_genomic_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
2025-09-20 18:41:48,857 - models.lstm_health_model - ERROR - lstm_health_model.py:302 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/lstm_health_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
2025-09-20 18:41:48,859 - models.transformer_genomic_model - ERROR - transformer_genomic_model.py:418 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/transformer_genomic_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
2025-09-20 18:44:52,709 - models.lstm_health_model - ERROR - lstm_health_model.py:302 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/lstm_health_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
2025-09-20 18:44:52,711 - models.transformer_genomic_model - ERROR - transformer_genomic_model.py:418 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/transformer_genomic_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
2025-09-20 18:45:17,002 - models.lstm_health_model - ERROR - lstm_health_model.py:302 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/lstm_health_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
2025-09-20 18:45:17,004 - models.transformer_genomic_model - ERROR - transformer_genomic_model.py:418 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/transformer_genomic_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
2025-09-20 18:46:53,964 - models.lstm_health_model - ERROR - lstm_health_model.py:302 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/lstm_health_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
2025-09-20 18:46:53,968 - models.transformer_genomic_model - ERROR - transformer_genomic_model.py:418 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/transformer_genomic_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
2025-09-20 18:47:31,509 - models.lstm_health_model - ERROR - lstm_health_model.py:302 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/lstm_health_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
2025-09-20 18:47:31,511 - models.transformer_genomic_model - ERROR - transformer_genomic_model.py:418 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/transformer_genomic_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
2025-09-20 20:09:59,914 - models.lstm_health_model - ERROR - lstm_health_model.py:338 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/lstm_health_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
